name;url;brand;availability;price
LM2587S-12/NOPB, Conv DC-DC 4V to 40V Step Up Single-Out 12V 6-Pin(5+Tab) DDPAK Tube;/product0/8003064957;Texas Instruments;no;1510
LM2587T-ADJ/NOPB, Switching Voltage Regulators 5A FLYBACK REG;/product0/8004741658;Texas Instruments;no;3600
LM2588S-5.0/NOPB, Switching Voltage Regulators 5A Flyback Reg w/ Shutdown;/product0/8004654809;Texas Instruments;no;3500
LM2588SX-ADJ/NOPB, Conv DC-DC 4V to 40V Synchronous Step Up Single-Out 1.23V to 60V 5A 8-Pin(7+Tab) TO-263 T/R;/product0/8003064959;Texas Instruments;no;1590
LM2588T-5.0/NOPB, Switching Voltage Regulators 5A Flyback Reg w/ Shutdown;/product0/8004654810;Texas Instruments;no;2730
LM2590HVS-ADJ/NOPB, Conv DC-DC 4.5V to 60V Step Down Single-Out 1.23V to 57V 1A 8-Pin(7+Tab) TO-263 Tube;/product0/8003064960;Texas Instruments;no;830
"LM2591HVS-3.3/NOPB, IC: PMIC; DC/DC converter; Uin: 4.5?60VDC; Uout: 3.3VDC; 1A; TO263-5";/product0/8003902148;Texas Instruments;no;1640
LM2591HVS-ADJ/NOPB, Switching Voltage Regulators PWR CONVERTER 150KHz 1A ST-DOWN VLTG REG;/product0/8004654811;Texas Instruments;no;2460
LM2592HVSX-5.0/NOPB, Conv DC-DC 4.5V to 60V Inv/Step Down Single-Out 5V 2A 6-Pin(5+Tab) DDPAK T/R;/product0/8003048192;Texas Instruments;no;930
LM2592HVT-ADJ/NOPB, Switching Voltage Regulators PWR CONVERTER 150KHz 2A ST-DOWN VLTG REG;/product0/8004654815;Texas Instruments;no;1910
LM2595S-3.3/NOPB, Conv DC-DC 4.5V to 40V Inv/Step Down Single-Out 3.3V 1A 6-Pin(5+Tab) DDPAK Tube;/product0/8003309035;Texas Instruments;no;790
LM2595S-ADJ/NOPB, Conv DC-DC 4.5V to 40V Inv/Step Down Single-Out 1.2V to 37V 1A 6-Pin(5+Tab) DDPAK Tube;/product0/8003064968;Texas Instruments;no;960
LM2595SX-ADJ/NOPB, Switching Voltage Regulators 150 KHZ 1A STEP-DOWN VLTG REG;/product0/8004654822;Texas Instruments;no;1520
LM2596R-5.0, Step-down type TO-263-5 DC-DC Converters ROHS;/product0/8003418654;HTC Korea;7-9 недель,7660 шт.;220
LM2596SX-12/NOPB, Conv DC-DC 4.5V to 40V Step Down Single-Out 12V 3A 6-Pin(5+Tab) DDPAK T/R;/product0/8003064972;Texas Instruments;no;870
LM2596SX-12/NOPB, IC REG BUCK 12V 3A TO263-5;/product0/8003396983;Texas Instruments;no;680
LM2596SX-5.0/NOPB, IC REG BUCK 5V 3A TO263-5;/product0/8003653209;Texas Instruments;no;240
LM2596T-5.0/NOPB, IC REG BUCK 5V 3A TO220-5;/product0/8003422130;Texas Instruments;no;530
LM2597HVM-ADJ/NOPB, Conv DC-DC 4.5V to 60V Inv/Step Down Single-Out 1.2V to 57V 0.5A 8-Pin SOIC Tube;/product0/8003064976;Texas Instruments;no;870
LM2597HVN-3.3/NOPB, Conv DC-DC 4.5V to 60V Inv/Step Down Single-Out 3.3V 0.5A 8-Pin PDIP Tube;/product0/8003048207;Texas Instruments;no;780
LM2611AMF/NOPB, Импульсный инвертирующий DC-DC стабилизатор, регулируемый, 2.7В-14В (Vin), 1.2A выход, 1.4МГц;/product/lm2611amf-nopb;Texas Instruments;no;1120
LM2623ALD/NOPB, Conv DC-DC 0.8V to 14V Step Up Single-Out 1.24V to 14V 2A 14-Pin WSON EP T/R;/product0/8003064981;Texas Instruments;no;210
LM2623QNHLRQ1, Conv DC-DC 3V to 14V Step Up Single-Out 1.24V to 14V 2A 14-Pin WSON EP T/R Automotive AEC-Q100;/product0/8002312682;Texas Instruments;no;190
LM2647MTC/NOPB, DC/DC Cntrlr Dual-OUT Step Down 500kHz 28-Pin TSSOP Tube;/product0/8003309045;Texas Instruments;no;820
LM26480SQ-AA/NOPB, IC REG QUAD BUCK/LNR SYNC 24WQFN;/product0/8003889015;Texas Instruments;no;460
LM2650MX-ADJ/NOPB, Conv DC-DC 4.5V to 18V Synchronous Step Down Single-Out 1.5V to 16V 3A 24-Pin SOIC T/R;/product0/8003064995;Texas Instruments;no;1280
LM2651MTC-3.3/NOPB, Синхронный понижающий импульсный стабилизатор, фиксированный, 4В-14В (Vin), 3.3В и 1.5А, TSSOP-16;/product/lm2651mtc-3.3-nopb;Texas Instruments;no;1210
LM2651MTC-ADJ, Conv DC-DC 4V to 14V Synchronous Step Down Single-Out 3.3V to 13V 1.5A 16-Pin TSSOP Tube;/product0/8003321424;Texas Instruments;no;810
LM2660M/NOPB, Charge Pump INV/STPUP -1.5V to -5.5V 100mA 8-Pin SOIC Tube;/product0/8003654448;Texas Instruments;no;270
LM2660M/NOPB, Switching Voltage Regulators SWITCHED CAPACITOR VLTG CONVERTER;/product0/8004741686;Texas Instruments;no;630
LM2660MX/NOPB, Charge Pump INV/STPUP -1.5V to -5.5V 100mA 8-Pin SOIC T/R;/product0/8003064996;Texas Instruments;no;180
